一级指标	二级指标	三级指标	四级指标	细分指标
环境（E）	E2 污染物排放及处理	E2.2 废气排放与管理	E2.2.2 废气治理	E2.2.2.1 企业废气治理办法
环境（E）	E2 污染物排放及处理	E2.2 废气排放与管理	E2.2.2 废气治理	E2.2.2.2 废气处理设施情况
环境（E）	E2 污染物排放及处理	E2.2 废气排放与管理	E2.2.2 废气治理	E2.2.2.3 空气质量检测与监测机制
环境（E）	E2 污染物排放及处理	E2.3 固体废弃物排放与处理	E2.3.1 固体废弃物排放	E2.3.1.1 固体废弃物种类
环境（E）	E2 污染物排放及处理	E2.3 固体废弃物排放与处理	E2.3.1 固体废弃物排放	E2.3.1.2 固体废弃物排放许可证持有情况
环境（E）	E2 污染物排放及处理	E2.3 固体废弃物排放与处理	E2.3.1 固体废弃物排放	E2.3.1.3 一般固体废弃物排放量
环境（E）	E2 污染物排放及处理	E2.3 固体废弃物排放与处理	E2.3.1 固体废弃物排放	E2.3.1.4 一般固体废弃物处置量
环境（E）	E2 污染物排放及处理	E2.3 固体废弃物排放与处理	E2.3.1 固体废弃物排放	E2.3.1.5 固体废弃物排放达标情况
环境（E）	E2 污染物排放及处理	E2.3 固体废弃物排放与处理	E2.3.1 固体废弃物排放	E2.3.1.6 固体废弃物排放强度
环境（E）	E2 污染物排放及处理	E2.3 固体废弃物排放与处理	E2.3.1 固体废弃物排放	E2.3.1.7 固体废弃物减排量
环境（E）	E2 污染物排放及处理	E2.3 固体废弃物排放与处理	E2.3.2 固体废弃物治理	E2.3.2.1 企业固体废弃物治理办法
环境（E）	E2 污染物排放及处理	E2.3 固体废弃物排放与处理	E2.3.2 固体废弃物治理	E2.3.2.2 固体废弃物处理设施情况
环境（E）	E2 污染物排放及处理	E2.4 危险废弃物排放与处理	E2.4.1 危险废弃物排放	E2.4.1.1 危险废弃物种类
环境（E）	E2 污染物排放及处理	E2.4 危险废弃物排放与处理	E2.4.1 危险废弃物排放	E2.4.1.2 危险废弃物排放量
环境（E）	E2 污染物排放及处理	E2.4 危险废弃物排放与处理	E2.4.1 危险废弃物排放	E2.4.1.3 危险废弃物处置量
环境（E）	E2 污染物排放及处理	E2.4 危险废弃物排放与处理	E2.4.2 危险废弃物管理	E2.4.2.1 危险废弃物管理
环境（E）	E2 污染物排放及处理	E2.5 噪声污染排放与治理	E2.5.1 噪声污染排放	E2.5.1.1 噪声污染情况
环境（E）	E2 污染物排放及处理	E2.5 噪声污染排放与治理	E2.5.2 噪声污染治理	E2.5.2.1 噪声污染管理
环境（E）	E2 污染物排放及处理	E2.6 放射性污染排放与治理	E2.6.1 放射性污染排放	E2.6.1.1 放射性污染排放情况
环境（E）	E2 污染物排放及处理	E2.6 放射性污染排放与治理	E2.6.2 放射性污染治理	E2.6.2.1 放射性污染治理办法
环境（E）	E2 污染物排放及处理	E2.6 放射性污染排放与治理	E2.6.2 放射性污染治理	E2.6.2.2 放射性污染处理设施情况
环境（E）	E2 污染物排放及处理	E2.7 光污染水平与治理	E2.7.1 光污染水平	E2.7.1.1 光污染情况
环境（E）	E2 污染物排放及处理	E2.7 光污染水平与治理	E2.7.2 光污染治理	E2.7.2.1 光污染管理
环境（E）	E3 资源消耗与管理	E3.1 水资源使用与管理	E3.1.1 水资源使用	E3.1.1.1 总耗水量
环境（E）	E3 资源消耗与管理	E3.1 水资源使用与管理	E3.1.1 水资源使用	E3.1.1.2 新鲜水用量
环境（E）	E3 资源消耗与管理	E3.1 水资源使用与管理	E3.1.1 水资源使用	E3.1.1.3 循环水用量
环境（E）	E3 资源消耗与管理	E3.1 水资源使用与管理	E3.1.1 水资源使用	E3.1.1.4 循环水用量占总耗水量比例
环境（E）	E3 资源消耗与管理	E3.1 水资源使用与管理	E3.1.1 水资源使用	E3.1.1.5 水资源消耗强度
环境（E）	E3 资源消耗与管理	E3.1 水资源使用与管理	E3.1.2 水资源管理	E3.1.2.1 水资源使用管理办法
环境（E）	E3 资源消耗与管理	E3.1 水资源使用与管理	E3.1.2 水资源管理	E3.1.2.2 节水管理办法
环境（E）	E3 资源消耗与管理	E3.1 水资源使用与管理	E3.1.2 水资源管理	E3.1.2.3 企业节水培训
环境（E）	E3 资源消耗与管理	E3.1 水资源使用与管理	E3.1.2 水资源管理	E3.1.2.4 企业节水效果
环境（E）	E3 资源消耗与管理	E3.1 水资源使用与管理	E3.1.2 水资源管理	E3.1.2.5 节水费用
环境（E）	E3 资源消耗与管理	E3.2 能源使用与管理	E3.2.1 能源使用	E3.2.1.1 能源消耗总量
环境（E）	E3 资源消耗与管理	E3.2 能源使用与管理	E3.2.1 能源使用	E3.2.1.2 能源消耗强度
环境（E）	E3 资源消耗与管理	E3.2 能源使用与管理	E3.2.1 能源使用	E3.2.1.3 清洁能源占比
环境（E）	E3 资源消耗与管理	E3.2 能源使用与管理	E3.2.2 能源管理	E3.2.2.1 能源使用管理办法
环境（E）	E3 资源消耗与管理	E3.2 能源使用与管理	E3.2.2 能源管理	E3.2.2.2 能源消耗统计监测设施
环境（E）	E3 资源消耗与管理	E3.2 能源使用与管理	E3.2.2 能源管理	E3.2.2.3 节能管理办法
环境（E）	E3 资源消耗与管理	E3.2 能源使用与管理	E3.2.2 能源管理	E3.2.2.4 企业节能培训
环境（E）	E3 资源消耗与管理	E3.2 能源使用与管理	E3.2.2 能源管理	E3.2.2.5 企业节能效果
环境（E）	E3 资源消耗与管理	E3.2 能源使用与管理	E3.2.2 能源管理	E3.2.2.6 节能费用
环境（E）	E3 资源消耗与管理	E3.3 物料使用与管理	E3.3.1 物料使用	E3.3.1.1 物料消耗量
环境（E）	E3 资源消耗与管理	E3.3 物料使用与管理	E3.3.1 物料使用	E3.3.1.2 物料消耗强度
环境（E）	E3 资源消耗与管理	E3.3 物料使用与管理	E3.3.1 物料使用	E3.3.1.3 不可再生物料消耗量
环境（E）	E3 资源消耗与管理	E3.3 物料使用与管理	E3.3.2 物料管理	E3.3.2.1 绿色包装使用情况
环境（E）	E3 资源消耗与管理	E3.3 物料使用与管理	E3.3.2 物料管理	E3.3.2.2 循环使用材料占消耗原材料比重
环境（E）	E3 资源消耗与管理	E3.4 其他自然资源的使用与管理	E3.4.1 土地资源	E3.4.1.1 土地资源使用情况
环境（E）	E3 资源消耗与管理	E3.4 其他自然资源的使用与管理	E3.4.1 土地资源	E3.4.1.2 土地资源保护与管理
环境（E）	E3 资源消耗与管理	E3.4 其他自然资源的使用与管理	E3.4.1 土地资源	E3.4.1.3 土地资源维护与修复成效
环境（E）	E3 资源消耗与管理	E3.4 其他自然资源的使用与管理	E3.4.2 森林资源	E3.4.2.1 森林资源使用情况
环境（E）	E3 资源消耗与管理	E3.4 其他自然资源的使用与管理	E3.4.2 森林资源	E3.4.2.2 森林资源保护与管理
环境（E）	E3 资源消耗与管理	E3.4 其他自然资源的使用与管理	E3.4.2 森林资源	E3.4.2.3 森林资源维护与修复成效
环境（E）	E3 资源消耗与管理	E3.4 其他自然资源的使用与管理	E3.4.3 湿地资源	E3.4.3.1 湿地资源使用情况
环境（E）	E3 资源消耗与管理	E3.4 其他自然资源的使用与管理	E3.4.3 湿地资源	E3.4.3.2 湿地资源保护与管理
环境（E）	E3 资源消耗与管理	E3.4 其他自然资源的使用与管理	E3.4.3 湿地资源	E3.4.3.3 湿地资源维护与修复成效
环境（E）	E4 环境管理与环境保护	E4.1 环境管理	E4.1.1 环境管理观念	E4.1.1.1 环境管理部门与制度设计
环境（E）	E4 环境管理与环境保护	E4.1 环境管理	E4.1.2 环境信息披露	E4.1.2.1 环境信息披露情况
环境（E）	E4 环境管理与环境保护	E4.1 环境管理	E4.1.2 环境信息披露	E4.1.2.2 环境信息披露第三方机构核查
环境（E）	E4 环境管理与环境保护	E4.1 环境管理	E4.1.3 低碳经济转型风险	E4.1.3.1 低碳经济转型风险评估
环境（E）	E4 环境管理与环境保护	E4.1 环境管理	E4.1.3 低碳经济转型风险	E4.1.3.2 低碳经济转型风险应对
环境（E）	E4 环境管理与环境保护	E4.2 环境保护	E4.2.1 生产环保投入	E4.2.1.1 环保设施投资
环境（E）	E4 环境管理与环境保护	E4.2 环境保护	E4.2.1 生产环保投入	E4.2.1.2 污染物减排费用
环境（E）	E4 环境管理与环境保护	E4.2 环境保护	E4.2.1 生产环保投入	E4.2.1.3 环境污染责任保险投保费用
环境（E）	E4 环境管理与环境保护	E4.2 环境保护	E4.2.1 生产环保投入	E4.2.1.4 绿色研发投入占总体研发投入比例
环境（E）	E4 环境管理与环境保护	E4.2 环境保护	E4.2.2 生态保护	E4.2.2.1 生态保护、修复与治理办法
环境（E）	E4 环境管理与环境保护	E4.2 环境保护	E4.2.2 生态保护	E4.2.2.2 生态保护、修复与治理投入
环境（E）	E4 环境管理与环境保护	E4.2 环境保护	E4.2.3 生物多样性保护	E4.2.3.1 对生物多样性造成的影响
环境（E）	E4 环境管理与环境保护	E4.2 环境保护	E4.2.3 生物多样性保护	E4.2.3.2 生物多样性保护管理办法
环境（E）	E4 环境管理与环境保护	E4.2 环境保护	E4.2.3 生物多样性保护	E4.2.3.3 生物多样性遗传资源的获取与使用
环境（E）	E4 环境管理与环境保护	E4.2 环境保护	E4.2.3 生物多样性保护	E4.2.3.4 生物多样性保护投入
环境（E）	E4 环境管理与环境保护	E4.2 环境保护	E4.2.4 绿色生产与绿色办公	E4.2.4.1 绿色生产与办公情况
环境（E）	E4 环境管理与环境保护	E4.2 环境保护	E4.2.4 绿色生产与绿色办公	E4.2.4.2 绿色生产审核情况
环境（E）	E4 环境管理与环境保护	E4.2 环境保护	E4.2.4 绿色生产与绿色办公	E4.2.4.3 绿色生产与办公培训
环境（E）	E4 环境管理与环境保护	E4.2 环境保护	E4.2.4 绿色生产与绿色办公	E4.2.4.4 绿色生产与办公投入
环境（E）	E4 环境管理与环境保护	E4.2 环境保护	E4.2.4 绿色生产与绿色办公	E4.2.4.5 绿色建筑运行情况
环境（E）	E4 环境管理与环境保护	E4.2 环境保护	E4.2.5 环境保护负面事件	E4.2.5.1 突发环境事件应急预案
环境（E）	E4 环境管理与环境保护	E4.2 环境保护	E4.2.5 环境保护负面事件	E4.2.5.2 环保争议事件
环境（E）	E4 环境管理与环境保护	E4.2 环境保护	E4.2.5 环境保护负面事件	E4.2.5.3 环境诉讼
环境（E）	E4 环境管理与环境保护	E4.2 环境保护	E4.2.5 环境保护负面事件	E4.2.5.4 环境行政处罚
社会（S）	S1 员工	S1.1 员工与劳动关系	S1.1.1 员工招聘	S1.1.1.1 员工招聘决策
社会（S）	S1 员工	S1.1 员工与劳动关系	S1.1.1 员工招聘	S1.1.1.2 员工数量
社会（S）	S1 员工	S1.1 员工与劳动关系	S1.1.1 员工招聘	S1.1.1.3 员工人才构成
社会（S）	S1 员工	S1.1 员工与劳动关系	S1.1.1 员工招聘	S1.1.1.4 全体员工中签订劳动合同员工比例
社会（S）	S1 员工	S1.1 员工与劳动关系	S1.1.1 员工招聘	S1.1.1.5 劳动争议与劳务纠纷（含临时工与实习生）情况
社会（S）	S1 员工	S1.1 员工与劳动关系	S1.1.1 员工招聘	S1.1.1.6 雇佣童工情况
社会（S）	S1 员工	S1.1 员工与劳动关系	S1.1.2 员工流动	S1.1.2.1 员工流动率
社会（S）	S1 员工	S1.1 员工与劳动关系	S1.1.2 员工流动	S1.1.2.2 关键岗位人才流动率
社会（S）	S1 员工	S1.1 员工与劳动关系	S1.1.2 员工流动	S1.1.2.3 主动离职率
社会（S）	S1 员工	S1.1 员工与劳动关系	S1.1.2 员工流动	S1.1.2.4 被动离职率
社会（S）	S1 员工	S1.1 员工与劳动关系	S1.1.2 员工流动	S1.1.2.5 离职和裁员补偿办法及额度
社会（S）	S1 员工	S1.2 员工权益	S1.2.1 员工平等就业权益	S1.2.1.1 反歧视条例与政策
社会（S）	S1 员工	S1.2 员工权益	S1.2.1 员工平等就业权益	S1.2.1.2 全体员工中女性员工占比
社会（S）	S1 员工	S1.2 员工权益	S1.2.1 员工平等就业权益	S1.2.1.3 新增员工中女性员工占比
社会（S）	S1 员工	S1.2 员工权益	S1.2.1 员工平等就业权益	S1.2.1.4 全体员工中少数民族占比
社会（S）	S1 员工	S1.2 员工权益	S1.2.1 员工平等就业权益	S1.2.1.5 新增员工中少数民族占比
社会（S）	S1 员工	S1.2 员工权益	S1.2.1 员工平等就业权益	S1.2.1.6 全体员工中残障人士就业比例
社会（S）	S1 员工	S1.2 员工权益	S1.2.1 员工平等就业权益	S1.2.1.7 新增员工中残障人士就业比例
社会（S）	S1 员工	S1.2 员工权益	S1.2.1 员工平等就业权益	S1.2.1.8 全体员工中来自中西部地区比例
社会（S）	S1 员工	S1.2 员工权益	S1.2.1 员工平等就业权益	S1.2.1.9 新增员工中来自中西部地区比例
社会（S）	S1 员工	S1.2 员工权益	S1.2.1 员工平等就业权益	S1.2.1.10 全体员工中国际员工比例
社会（S）	S1 员工	S1.2 员工权益	S1.2.1 员工平等就业权益	S1.2.1.11 新增员工中国际员工比例
社会（S）	S1 员工	S1.2 员工权益	S1.2.2 员工获得劳动报酬权益	S1.2.2.1 男女基本工资比例
社会（S）	S1 员工	S1.2 员工权益	S1.2.2 员工获得劳动报酬权益	S1.2.2.2 最低工资标准与地方行业平均工资之差
社会（S）	S1 员工	S1.2 员工权益	S1.2.3 员工休息休假权益	S1.2.3.1 员工工作时间与休息休假安排
社会（S）	S1 员工	S1.2 员工权益	S1.2.3 员工休息休假权益	S1.2.3.2 员工工作时间
社会（S）	S1 员工	S1.2 员工权益	S1.2.3 员工休息休假权益	S1.2.3.3 员工加班权益保障
社会（S）	S1 员工	S1.2 员工权益	S1.2.3 员工休息休假权益	S1.2.3.4 员工带薪假天数
社会（S）	S1 员工	S1.2 员工权益	S1.2.3 员工休息休假权益	S1.2.3.5 员工产假与育儿假政策
社会（S）	S1 员工	S1.2 员工权益	S1.2.3 员工休息休假权益	S1.2.3.6 员工生育保障制度
社会（S）	S1 员工	S1.2 员工权益	S1.2.3 员工休息休假权益	S1.2.3.7 公司产假/陪产假后回到工作岗位和保留工作的员工比例
社会（S）	S1 员工	S1.2 员工权益	S1.2.4 员工社会与安全保障	S1.2.4.1 员工五险一金缴纳情况
社会（S）	S1 员工	S1.2 员工权益	S1.2.4 员工社会与安全保障	S1.2.4.2 员工健康与安全生产管理体系建设
社会（S）	S1 员工	S1.2 员工权益	S1.2.4 员工社会与安全保障	S1.2.4.3 员工健康服务和健康培训办法建立及实施情况（含心理健康）
社会（S）	S1 员工	S1.2 员工权益	S1.2.4 员工社会与安全保障	S1.2.4.4 安全生产培训时数
社会（S）	S1 员工	S1.2 员工权益	S1.2.4 员工社会与安全保障	S1.2.4.5 和工作相关的健康问题及职业病发生情况
社会（S）	S1 员工	S1.2 员工权益	S1.2.4 员工社会与安全保障	S1.2.4.6 工伤情况
社会（S）	S1 员工	S1.2 员工权益	S1.2.4 员工社会与安全保障	S1.2.4.7 因工死亡人数
社会（S）	S1 员工	S1.2 员工权益	S1.2.5 工会	S1.2.5.1 工会设立情况
社会（S）	S1 员工	S1.2 员工权益	S1.2.5 工会	S1.2.5.2 职工代表大会相关办法
社会（S）	S1 员工	S1.2 员工权益	S1.2.5 工会	S1.2.5.3 员工依法组织和参与工会情况
社会（S）	S1 员工	S1.2 员工权益	S1.2.5 工会	S1.2.5.4 工会与员工集体组织活动次数
社会（S）	S1 员工	S1.3 员工福利与满意度	S1.3.1 员工福利	S1.3.1.1 员工福利计划
社会（S）	S1 员工	S1.3 员工福利与满意度	S1.3.1 员工福利	S1.3.1.2 全职员工福利
社会（S）	S1 员工	S1.3 员工福利与满意度	S1.3.1 员工福利	S1.3.1.3 特殊员工关怀
社会（S）	S1 员工	S1.3 员工福利与满意度	S1.3.1 员工福利	S1.3.1.4 高级人才政策
社会（S）	S1 员工	S1.3 员工福利与满意度	S1.3.2 员工满意度及其调查情况	S1.3.2.1 员工满意度调查情况
社会（S）	S1 员工	S1.3 员工福利与满意度	S1.3.2 员工满意度及其调查情况	S1.3.2.2 员工满意度
社会（S）	S1 员工	S1.4 员工成长与激励机制	S1.4.1 员工培训	S1.4.1.1 员工培训部门设置
社会（S）	S1 员工	S1.4 员工成长与激励机制	S1.4.1 员工培训	S1.4.1.2 员工培训情况
社会（S）	S1 员工	S1.4 员工成长与激励机制	S1.4.2 员工激励	S1.4.2.1 员工激励机制
社会（S）	S1 员工	S1.4 员工成长与激励机制	S1.4.2 员工激励	S1.4.2.2 员工晋升与选拔机制
社会（S）	S2 供应链管理与负责任生产	S2.1 供应链与合作伙伴	S2.1.1 供应商管理	S2.1.1.1 供应商情况
社会（S）	S2 供应链管理与负责任生产	S2.1 供应链与合作伙伴	S2.1.1 供应商管理	S2.1.1.2 供应商选择标准
社会（S）	S2 供应链管理与负责任生产	S2.1 供应链与合作伙伴	S2.1.1 供应商管理	S2.1.1.3 供应商培训计划
社会（S）	S2 供应链管理与负责任生产	S2.1 供应链与合作伙伴	S2.1.1 供应商管理	S2.1.1.4 供应商考核标准
社会（S）	S2 供应链管理与负责任生产	S2.1 供应链与合作伙伴	S2.1.1 供应商管理	S2.1.1.5 供应商督查政策
社会（S）	S2 供应链管理与负责任生产	S2.1 供应链与合作伙伴	S2.1.2 供应链评估	S2.1.2.1 供应商环境影响评估
社会（S）	S2 供应链管理与负责任生产	S2.1 供应链与合作伙伴	S2.1.2 供应链评估	S2.1.2.2 供应商风险评估
社会（S）	S2 供应链管理与负责任生产	S2.1 供应链与合作伙伴	S2.1.2 供应链评估	S2.1.2.3 供应商候补与紧急替换机制
社会（S）	S2 供应链管理与负责任生产	S2.1 供应链与合作伙伴	S2.1.3 供应链管理	S2.1.3.1 招标采购办法
社会（S）	S2 供应链管理与负责任生产	S2.1 供应链与合作伙伴	S2.1.3 供应链管理	S2.1.3.2 供应中断防范与应急预案
社会（S）	S2 供应链管理与负责任生产	S2.1 供应链与合作伙伴	S2.1.3 供应链管理	S2.1.3.3 物流、交易、信息系统等服务商选择与考核标准
社会（S）	S2 供应链管理与负责任生产	S2.1 供应链与合作伙伴	S2.1.3 供应链管理	S2.1.3.4 绿色供应链建设
社会（S）	S2 供应链管理与负责任生产	S2.1 供应链与合作伙伴	S2.1.3 供应链管理	S2.1.3.5 供应商质量追溯机制
社会（S）	S2 供应链管理与负责任生产	S2.2 产品责任	S2.2.1 生产规范	S2.2.1.1 生产规范管理办法
社会（S）	S2 供应链管理与负责任生产	S2.2 产品责任	S2.2.1 生产规范	S2.2.1.2 生产设备更新情况
社会（S）	S2 供应链管理与负责任生产	S2.2 产品责任	S2.2.1 生产规范	S2.2.1.3 生产设备维护情况
社会（S）	S2 供应链管理与负责任生产	S2.2 产品责任	S2.2.2 产品安全与质量	S2.2.2.1 生产规范制定
社会（S）	S2 供应链管理与负责任生产	S2.2 产品责任	S2.2.2 产品安全与质量	S2.2.2.2 产品与服务质量保障与管理办法
社会（S）	S2 供应链管理与负责任生产	S2.2 产品责任	S2.2.2 产品安全与质量	S2.2.2.3 产品与服务质量管理认证机制
社会（S）	S2 供应链管理与负责任生产	S2.2 产品责任	S2.2.2 产品安全与质量	S2.2.2.4 产品与服务健康安全风险排查机制
社会（S）	S2 供应链管理与负责任生产	S2.2 产品责任	S2.2.2 产品安全与质量	S2.2.2.5 客户权益保障
社会（S）	S2 供应链管理与负责任生产	S2.2 产品责任	S2.2.2 产品安全与质量	S2.2.2.6 产品保险与再保险投保额
社会（S）	S2 供应链管理与负责任生产	S2.2 产品责任	S2.2.2 产品安全与质量	S2.2.2.7 因质量问题招致的产品召回事件
社会（S）	S2 供应链管理与负责任生产	S2.2 产品责任	S2.2.2 产品安全与质量	S2.2.2.8 涉及产品与服务质量、健康与安全的消费者投诉事件
社会（S）	S2 供应链管理与负责任生产	S2.2 产品责任	S2.2.3 科技创新与知识产权保护	S2.2.3.1 知识产权保护办法
社会（S）	S2 供应链管理与负责任生产	S2.2 产品责任	S2.2.3 科技创新与知识产权保护	S2.2.3.2 研发投入占总营收额比例
社会（S）	S2 供应链管理与负责任生产	S2.2 产品责任	S2.2.3 科技创新与知识产权保护	S2.2.3.3 累计专利数
社会（S）	S3 社会责任	S3.1 社会责任承担	S3.1.1 社会责任意识	S3.1.1.1 社会责任战略
社会（S）	S3 社会责任	S3.1 社会责任承担	S3.1.1 社会责任意识	S3.1.1.2 社会责任战略与执行机构
社会（S）	S3 社会责任	S3.1 社会责任承担	S3.1.2 国家战略响应	S3.1.2.1 乡村振兴响应
社会（S）	S3 社会责任	S3.1 社会责任承担	S3.1.2 国家战略响应	S3.1.2.2 共同富裕响应
社会（S）	S3 社会责任	S3.1 社会责任承担	S3.1.2 国家战略响应	S3.1.2.3 西部大开发战略响应
社会（S）	S3 社会责任	S3.1 社会责任承担	S3.1.3 捐赠捐助行为	S3.1.3.1 慈善捐赠
社会（S）	S3 社会责任	S3.1 社会责任承担	S3.1.3 捐赠捐助行为	S3.1.3.2 公益性捐赠
社会（S）	S3 社会责任	S3.2 社会影响	S3.2.1 积极社会影响	S3.2.1.1 爱国主义宣传教育活动
社会（S）	S3 社会责任	S3.2 社会影响	S3.2.1 积极社会影响	S3.2.1.2 社会公益活动参与
社会（S）	S3 社会责任	S3.2 社会影响	S3.2.1 积极社会影响	S3.2.1.3 产品与服务的社会功能
社会（S）	S3 社会责任	S3.2 社会影响	S3.2.2 负面社会影响	S3.2.2.1 社会舆情
社会（S）	S3 社会责任	S3.2 社会影响	S3.2.2 负面社会影响	S3.2.2.2 市场营销及社会领域的违法违规事件
治理（G）	G1 治理结构	G1.1 股东会	G1.1.1 股东与股东结构	G1.1.1.1 股东构成
治理（G）	G1 治理结构	G1.1 股东会	G1.1.1 股东与股东结构	G1.1.1.2 股东持股情况
治理（G）	G1 治理结构	G1.1 股东会	G1.1.2 股东会运作程序与情况	G1.1.2.1 股东会议事规则
治理（G）	G1 治理结构	G1.1 股东会	G1.1.2 股东会运作程序与情况	G1.1.2.2 股东会召开情况说明
治理（G）	G1 治理结构	G1.2 董事会	G1.2.1 董事会成员构成	G1.2.1.1 董事会成员产生方式
治理（G）	G1 治理结构	G1.2 董事会	G1.2.1 董事会成员构成	G1.2.1.2 女性董事占比
治理（G）	G1 治理结构	G1.2 董事会	G1.2.1 董事会成员构成	G1.2.1.3 董事会成员平均任期
治理（G）	G1 治理结构	G1.2 董事会	G1.2.1 董事会成员构成	G1.2.1.4 董事离职率
治理（G）	G1 治理结构	G1.2 董事会	G1.2.1 董事会成员构成	G1.2.1.5 董事长兼职情况
治理（G）	G1 治理结构	G1.2 董事会	G1.2.1 董事会成员构成	G1.2.1.6 独立董事占比
治理（G）	G1 治理结构	G1.2 董事会	G1.2.1 董事会成员构成	G1.2.1.7 非执行董事占比
治理（G）	G1 治理结构	G1.2 董事会	G1.2.2 董事会运作	G1.2.2.1 董事会建设情况
治理（G）	G1 治理结构	G1.2 董事会	G1.2.2 董事会运作	G1.2.2.2 董事会议事规则
治理（G）	G1 治理结构	G1.2 董事会	G1.2.2 董事会运作	G1.2.2.3 董事会召开情况说明
治理（G）	G1 治理结构	G1.2 董事会	G1.2.2 董事会运作	G1.2.2.4 董事会评估情况
治理（G）	G1 治理结构	G1.2 董事会	G1.2.2 董事会运作	G1.2.2.5 独立董事履职情况
治理（G）	G1 治理结构	G1.2 董事会	G1.2.2 董事会运作	G1.2.2.6 董事培训情况
治理（G）	G1 治理结构	G1.2 董事会	G1.2.3 董事会下辖专门委员会	G1.2.3.1 审计委员会设立情况
治理（G）	G1 治理结构	G1.2 董事会	G1.2.3 董事会下辖专门委员会	G1.2.3.2 专门委员会成员构成
治理（G）	G1 治理结构	G1.2 董事会	G1.2.3 董事会下辖专门委员会	G1.2.3.3 专门委员会运作情况
治理（G）	G1 治理结构	G1.3 监事会	G1.3.1 监事会成员构成	G1.3.1.1 监事会成员产生方式
治理（G）	G1 治理结构	G1.3 监事会	G1.3.1 监事会成员构成	G1.3.1.2 女性监事占比
治理（G）	G1 治理结构	G1.3 监事会	G1.3.1 监事会成员构成	G1.3.1.3 监事会成员平均任期
治理（G）	G1 治理结构	G1.3 监事会	G1.3.1 监事会成员构成	G1.3.1.4 监事离职率
治理（G）	G1 治理结构	G1.3 监事会	G1.3.1 监事会成员构成	G1.3.1.5 外部监事占比
治理（G）	G1 治理结构	G1.3 监事会	G1.3.2 监事会运作	G1.3.2.1 监事会建设情况
